Natal_location,Transplant_location,Host_genus,Host_species,Sample,Timepoint,Date,Dtrenchii_CT,Cladocopium_CT
Offshore,Near-shore,Cyphastrea,chalcidium ,OC1,T0,Mar-15,29.63653628,19.91723347
Offshore,Near-shore,Cyphastrea,chalcidium ,OC2,T0,Mar-15,32.72566605,20.49869156
Offshore,Near-shore,Cyphastrea,chalcidium ,OC3,T0,Mar-15,30.82732201,19.86791166
Offshore,Near-shore,Cyphastrea,chalcidium ,OC4,T0,Mar-15,31.18667157,21.38032405
Offshore,Near-shore,Cyphastrea,chalcidium ,OC5,T0,Mar-15,30.89378166,22.40475718
Offshore,Near-shore,Cyphastrea,chalcidium ,OC6,T0,Mar-15,28.92332013,19.34383011
Offshore,Near-shore,Cyphastrea,chalcidium ,OC7,T0,Mar-15,31.75477537,19.92570686
Offshore,Near-shore,Cyphastrea,chalcidium ,OC8,T0,Mar-15,30.25784556,19.18856049
Offshore,Near-shore,Coelastrea,aspera,OG11,T0,Mar-14,29.81946818,24.67041588
Offshore,Near-shore,Coelastrea,aspera,OG12,T0,Mar-14,29.99047724,23.50920486
Offshore,Near-shore,Coelastrea,aspera,OG13,T0,Mar-14,35.41400909,25.90642293
Offshore,Near-shore,Coelastrea,aspera,OG14,T0,Mar-14,30.92359257,25.64117432
Offshore,Near-shore,Coelastrea,aspera,OG15,T0,Mar-14,30.95582867,24.22842916
Offshore,Near-shore,Coelastrea,aspera,OG16,T0,Mar-14,29.60738564,22.91098022
Offshore,Near-shore,Coelastrea,aspera,OG5,6M,Sep-14,21.82701619,34.14365768
Offshore,Near-shore,Coelastrea,aspera,OG8,6M,Sep-14,21.24107424,34.61322912
Offshore,Near-shore,Pachyseries,rugosa,OPA1,T0,Mar-15,26.66491127,21.1088028
Offshore,Near-shore,Pachyseries,rugosa,OPA2,T0,Mar-15,20.87195587,19.83450445
Offshore,Near-shore,Pachyseries,rugosa,OPA3,T0,Mar-15,26.74394862,20.16569646
Offshore,Near-shore,Pachyseries,rugosa,OPA5,T0,Mar-15,28.84770521,20.58661397
Offshore,Near-shore,Pachyseries,rugosa,OPA6,T0,Mar-15,28.80283546,22.38045311
Offshore,Near-shore,Pachyseries,rugosa,OPA7,T0,Mar-15,25.92714945,20.20917193
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,
Offshore,Near-shore,,,,,,,